Title,Date
"Jogi","20/04/24"
"The Great Indian Kapil Show: Season 1: Brothers in Arms - Vicky & Sunny Kaushal","20/04/24"
"Bareilly Ki Barfi","20/04/24"
"HIT: The First Case","19/04/24"
"OMG 2","17/04/24"
"Bhaji In Problem","17/04/24"
"CBI 5: The Brain","14/04/24"
"The Great Indian Kapil Show: Season 1: Stars of Chamkila","13/04/24"
"Amar Singh Chamkila","13/04/24"
"Choona: Limited Series: Sleep with the Fishes","12/04/24"
"Gurgaon","11/04/24"
"Mosul","10/04/24"
"Fashion","08/04/24"
"The Great Indian Kapil Show: Season 1: Ranbir - The Real Family Man","06/04/24"
"The Great Indian Kapil Show: Season 1: Cricket Fever - Rohit and Shreyas","06/04/24"
"Murder Mubarak","15/03/24"
"Amit Tandon: Family Tandoncies","02/03/24"
"Maamla Legal Hai: Season 1: Dignity","01/03/24"
"Maamla Legal Hai: Season 1: Darwaza","01/03/24"
"Zindagi Na Milegi Dobara","18/02/24"
"The Dictator","18/02/24"
"Dunki","18/02/24"
"Bhakshak","10/02/24"
"Lift","05/02/24"
"Animal","03/02/24"
"Killer Soup: Season 1: Episode 1","18/01/24"
"The Proposal","10/01/24"
"Taare Zameen Par","08/01/24"
"Fukrey","07/01/24"
"Ae Dil Hai Mushkil","01/01/24"
"Kho Gaye Hum Kahan","01/01/24"
"Berlin: Season 1: The Energy of Love","01/01/24"
"Gifted Hands: The Ben Carson Story","29/12/23"
"","28/12/23"
"The Crown: Season 1: Wolferton Splash","28/12/23"
"Yeh Jawaani Hai Deewani","27/12/23"
"Chef","21/12/23"
"The Archies","19/12/23"
"'83","19/12/23"
"Fauda: Season 1: Episode 3","05/12/23"
"Fauda: Season 1: Episode 2","04/12/23"
"Fauda: Season 1: Episode 1","04/12/23"
"Do Dooni Chaar","03/12/23"
"Ludo","03/12/23"
"Leo (Tamil)","01/12/23"
"Irugapatru","10/11/23"
"Khufiya","07/10/23"
"Kathal - A Jackfruit Mystery","01/10/23"
"Shimla Mirchi","01/10/23"
"Love at First Sight","15/09/23"
"Friday Night Plan","03/09/23"
"Ginny Weds Sunny","30/08/23"
"Raat Akeli Hai","24/08/23"
"Guns & Gulaabs: Season 1: Chapter 7+8: Raat Baaki...","20/08/23"
"Wedding Season","20/08/23"
"Guns & Gulaabs: Season 1: Chapter 6: Pyaar Chutiyapa Hai","20/08/23"
"Guns & Gulaabs: Season 1: Chapter 5: Do Dil Mil Rahe Hain","20/08/23"
"Guns & Gulaabs: Season 1: Chapter 4: Deal Ya No Deal","20/08/23"
"Guns & Gulaabs: Season 1: Chapter 3: Kasam Paida Karnewale Ki","20/08/23"
"Guns & Gulaabs: Season 1: Chapter 2: Everything I Do ... I Do It For You","20/08/23"
"Guns & Gulaabs: Season 1: Chapter 1: Har Insaan Mein Hai Shaitaan","19/08/23"
"Jai Mummy Di","19/08/23"
"Johnny English Strikes Again","18/08/23"
"Adipurush","18/08/23"
"The White Tiger","17/08/23"
"Dear Zindagi","17/08/23"
"Indoo Ki Jawani","17/08/23"
"Shehzada","16/08/23"
"Tara VS. Bilal","16/08/23"
"Delhi Crime: Season 1: Episode 7","15/08/23"
"Delhi Crime: Season 1: Episode 6","15/08/23"
"Delhi Crime: Season 1: Episode 5","15/08/23"
"Delhi Crime: Season 1: Episode 4","15/08/23"
"Delhi Crime: Season 1: Episode 3","15/08/23"
"Delhi Crime: Season 1: Episode 2","15/08/23"
"Delhi Crime: Season 1: Episode 1","15/08/23"
