Title,Date
"Smurfs: The Lost Village","28/04/24"
"Inside Man","13/04/24"
"The Accountant","13/04/24"
"The Matrix","13/04/24"
"How to Be Single","07/04/24"
"Happy Gilmore","07/04/24"
"Baby Driver","07/04/24"
"Spider-Man: Across the Spider-Verse","02/04/24"
"Dubai Bling: Season 2: Undercover in India","30/03/24"
"Dubai Bling: Season 2: Back in Bling Town!","30/03/24"
"Joker","30/03/24"
"Lift","30/03/24"
"Coin Heist","30/03/24"
"Yucatán","30/03/24"
"Queenpins","30/03/24"
"The Indrani Mukerjea Story: Buried Truth: Season 1: Episode 1","30/03/24"
"Yeh Jawaani Hai Deewani","30/03/24"
"Brooklyn Nine-Nine: Season 1: The Tagger","25/03/24"
"Brooklyn Nine-Nine: Season 1: The Slump","25/03/24"
"Brooklyn Nine-Nine: Season 1: Pilot","25/03/24"
"Brooklyn Nine-Nine: Season 1: Halloween","25/03/24"
"Murder Mubarak","23/03/24"
"Fighter","23/03/24"
"DEATH NOTE: Death Note: Renewal","23/03/24"
"DEATH NOTE: Death Note: Silence","23/03/24"
"DEATH NOTE: Death Note: Revival","23/03/24"
"DEATH NOTE: Death Note: Frenzy","23/03/24"
"DEATH NOTE: Death Note: Guidance","23/03/24"
"DEATH NOTE: Death Note: Performance","23/03/24"
"DEATH NOTE: Death Note: Makeshift","23/03/24"
"DEATH NOTE: Death Note: Matsuda","23/03/24"
"DEATH NOTE: Death Note: Ally","23/03/24"
"DEATH NOTE: Death Note: Execution","23/03/24"
"DEATH NOTE: Death Note: Decision","22/03/24"
"DEATH NOTE: Death Note: Dealings","22/03/24"
"DEATH NOTE: Death Note: Confrontation","22/03/24"
"DEATH NOTE: Death Note: Wager","22/03/24"
"DEATH NOTE: Death Note: Friend","22/03/24"
"DEATH NOTE: Death Note: Confession","22/03/24"
"DEATH NOTE: Death Note: Love","22/03/24"
"DEATH NOTE: Death Note: Assault","22/03/24"
"DEATH NOTE: Death Note: Doubt","22/03/24"
"DEATH NOTE: Death Note: Encounter","22/03/24"
"DEATH NOTE: Death Note: Glare","21/03/24"
"DEATH NOTE: Death Note: Overcast","21/03/24"
"DEATH NOTE: Death Note: Unraveling","21/03/24"
"DEATH NOTE: Death Note: Tactics","21/03/24"
"DEATH NOTE: Death Note: Pursuit","21/03/24"
"Avatar The Last Airbender: Season 1: Aang","20/03/24"
"Merry Christmas (Hindi)","11/03/24"
"Formula 1: Drive to Survive: Season 6: Civil War","02/03/24"
"Formula 1: Drive to Survive: Season 1: All to Play For","27/02/24"
"Formula 1: Drive to Survive: Season 6: Red or Black","27/02/24"
"Formula 1: Drive to Survive: Season 6: Three's a Crowd","27/02/24"
"Formula 1: Drive to Survive: Season 6: Forza Ferrari","27/02/24"
"Formula 1: Drive to Survive: Season 6: C'est la Vie","27/02/24"
"Formula 1: Drive to Survive: Season 6: Leap of Faith","27/02/24"
"Formula 1: Drive to Survive: Season 6: The Last Chapter","27/02/24"
"Formula 1: Drive to Survive: Season 6: Under Pressure","25/02/24"
"Formula 1: Drive to Survive: Season 6: Fall From Grace","25/02/24"
"Formula 1: Drive to Survive: Season 6: Money Talks","24/02/24"
"Ginny Weds Sunny","24/02/24"
"Zindagi Na Milegi Dobara","17/02/24"
"Dunki","17/02/24"
"Horrible Bosses 2","17/02/24"
"Moxie","16/02/24"
"The Croods","16/02/24"
"Orion and the Dark","13/02/24"
"Always Be My Maybe","11/02/24"
"The Interview","26/01/24"
"Neighbors","26/01/24"
"Long Shot","26/01/24"
"Dumb Money","24/01/24"
"Ungli","22/01/24"
"Desperados","22/01/24"
"The Other Guys","22/01/24"
"School of Rock","21/01/24"
"Starfish","21/01/24"
"Chandigarh Kare Aashiqui","21/01/24"
"Berlin: Season 1: The Energy of Love","19/01/24"
"Aquaman","19/01/24"
"Kung Fu Panda 3","19/01/24"
"Wonder Woman 1984","19/01/24"
"The Switch","17/01/24"
"Old Dads","17/01/24"
"The SpongeBob SquarePants Movie","17/01/24"
"The Secret Life of Pets","16/01/24"
"DC League of Super-Pets","16/01/24"
"The Boss Baby","16/01/24"
"Bad Boys for Life","05/01/24"
"Gran Turismo: Based on a True Story","05/01/24"
"Hum Saath-Saath Hain","31/12/23"
"I Hate Luv Storys","31/12/23"
"Gunjan Saxena: The Kargil Girl","31/12/23"
"A Boy Called Christmas","27/12/23"
"Holiday Rush","27/12/23"
"The Claus Family","27/12/23"
"New Year's Eve","27/12/23"
"Kho Gaye Hum Kahan","27/12/23"
"Happiness for Beginners","25/12/23"
"Senior Year","25/12/23"
"The Christmas Chronicles: Part Two","25/12/23"
"The Christmas Chronicles","24/12/23"
"Decoupled: Season 1: The History of a Marriage","24/12/23"
"Decoupled: Season 1: How to Tell Your Daughter About Divorce","24/12/23"
"Decoupled: Season 1: Affairs","24/12/23"
"Decoupled: Season 1: The Ex Returns","24/12/23"
"Decoupled: Season 1: Peak Ovulation","24/12/23"
"Decoupled: Season 1: Champion of Maids","23/12/23"
"Decoupled: Season 1: Her Phone Hangs","23/12/23"
"Decoupled: Season 1: Shake His Hand","23/12/23"
"Friends: Season 3: The One Where Chandler Can't Remember Which Sister","23/12/23"
"Friends: Season 3: The One Where Rachel Quits","23/12/23"
"Dream Girl 2","23/12/23"
"Curry & Cyanide - The Jolly Joseph Case","23/12/23"
"Trevor Noah: Where Was I","20/12/23"
"Social Currency: Season 1: Last Influencer Standing","19/12/23"
"Social Currency: Season 1: What's your Superpower?","19/12/23"
"Social Currency: Season 1: Breaking Point","19/12/23"
"Social Currency: Season 1: All or Nothing","18/12/23"
"Social Currency: Season 1: Sunny with a chance of Drama!","18/12/23"
"Leave the World Behind","17/12/23"
"Social Currency: Season 1: Real Karo, Feel Karo","17/12/23"
"Social Currency: Season 1: Unbox me","17/12/23"
"Army of Thieves","17/12/23"
